,period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,total-consumption-btu,total-consumption-btu-units
152,2022-01,US,U.S. Total,7,Industrial CHP,ALL,all fuels,254.01882,million MMBtu
153,2022-01,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.83176,million MMBtu
154,2021-12,US,U.S. Total,7,Industrial CHP,ALL,all fuels,254.49281,million MMBtu
155,2021-12,US,U.S. Total,99,All Sectors,ALL,all fuels,3264.13301,million MMBtu
156,2021-12,US,U.S. Total,98,Electric Power,ALL,all fuels,2984.22614,million MMBtu
157,2021-12,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.29695,million MMBtu
158,2021-12,US,U.S. Total,5,Commercial CHP,ALL,all fuels,13.77768,million MMBtu
159,2021-12,US,U.S. Total,1,Electric Utility,ALL,all fuels,1650.46212,million MMBtu
160,2021-12,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1218.96914,million MMBtu
161,2021-12,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,6.33943,million MMBtu
162,2021-12,US,U.S. Total,3,IPP CHP,ALL,all fuels,114.79488,million MMBtu
163,2021-12,US,U.S. Total,96,All Commercial,ALL,all fuels,19.07463,million MMBtu
164,2021-12,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.80805,million MMBtu
165,2021-12,US,U.S. Total,97,All Industrial,ALL,all fuels,260.83224,million MMBtu
166,2021-12,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1333.76402,million MMBtu
167,2021-12,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2869.43126,million MMBtu
168,2021-11,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,6.074,million MMBtu
169,2021-11,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.61878,million MMBtu
170,2021-11,US,U.S. Total,97,All Industrial,ALL,all fuels,248.75845,million MMBtu
171,2021-11,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1265.95628,million MMBtu
172,2021-11,US,U.S. Total,96,All Commercial,ALL,all fuels,17.87351,million MMBtu
173,2021-11,US,U.S. Total,1,Electric Utility,ALL,all fuels,1526.14148,million MMBtu
174,2021-11,US,U.S. Total,99,All Sectors,ALL,all fuels,3058.72972,million MMBtu
175,2021-11,US,U.S. Total,98,Electric Power,ALL,all fuels,2792.09776,million MMBtu
176,2021-11,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1154.9581,million MMBtu
177,2021-11,US,U.S. Total,5,Commercial CHP,ALL,all fuels,12.77311,million MMBtu
178,2021-11,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.1004,million MMBtu
179,2021-11,US,U.S. Total,3,IPP CHP,ALL,all fuels,110.99818,million MMBtu
180,2021-11,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2681.09958,million MMBtu
181,2021-11,US,U.S. Total,7,Industrial CHP,ALL,all fuels,242.68444,million MMBtu
182,2021-10,US,U.S. Total,1,Electric Utility,ALL,all fuels,1542.53106,million MMBtu
183,2021-10,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1275.87718,million MMBtu
184,2021-10,US,U.S. Total,97,All Industrial,ALL,all fuels,245.8085,million MMBtu
185,2021-10,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.87977,million MMBtu
186,2021-10,US,U.S. Total,96,All Commercial,ALL,all fuels,17.73687,million MMBtu
187,2021-10,US,U.S. Total,99,All Sectors,ALL,all fuels,3081.95361,million MMBtu
188,2021-10,US,U.S. Total,98,Electric Power,ALL,all fuels,2818.40824,million MMBtu
189,2021-10,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2703.96525,million MMBtu
190,2021-10,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,6.25151,million MMBtu
191,2021-10,US,U.S. Total,7,Industrial CHP,ALL,all fuels,239.55698,million MMBtu
192,2021-10,US,U.S. Total,5,Commercial CHP,ALL,all fuels,12.87786,million MMBtu
193,2021-10,US,U.S. Total,3,IPP CHP,ALL,all fuels,114.44299,million MMBtu
194,2021-10,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,4.85901,million MMBtu
195,2021-10,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1161.43419,million MMBtu
196,2021-09,US,U.S. Total,99,All Sectors,ALL,all fuels,3371.79459,million MMBtu
197,2021-09,US,U.S. Total,1,Electric Utility,ALL,all fuels,1752.4532,million MMBtu
198,2021-09,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2997.65111,million MMBtu
199,2021-09,US,U.S. Total,7,Industrial CHP,ALL,all fuels,236.04979,million MMBtu
200,2021-09,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,6.21137,million MMBtu
201,2021-09,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1358.57006,million MMBtu
202,2021-09,US,U.S. Total,5,Commercial CHP,ALL,all fuels,13.23023,million MMBtu
203,2021-09,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.99217,million MMBtu
204,2021-09,US,U.S. Total,3,IPP CHP,ALL,all fuels,113.37214,million MMBtu
205,2021-09,US,U.S. Total,97,All Industrial,ALL,all fuels,242.26116,million MMBtu
206,2021-09,US,U.S. Total,96,All Commercial,ALL,all fuels,18.51017,million MMBtu
207,2021-09,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.27994,million MMBtu
208,2021-09,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1245.19791,million MMBtu
209,2021-09,US,U.S. Total,98,Electric Power,ALL,all fuels,3111.02326,million MMBtu
210,2021-08,US,U.S. Total,5,Commercial CHP,ALL,all fuels,15.19788,million MMBtu
211,2021-08,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.4116,million MMBtu
212,2021-08,US,U.S. Total,1,Electric Utility,ALL,all fuels,2150.87497,million MMBtu
213,2021-08,US,U.S. Total,3,IPP CHP,ALL,all fuels,130.83051,million MMBtu
214,2021-08,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1431.37535,million MMBtu
215,2021-08,US,U.S. Total,96,All Commercial,ALL,all fuels,20.60948,million MMBtu
216,2021-08,US,U.S. Total,95,Coal Consumption,ALL,all fuels,7.44843,million MMBtu
217,2021-08,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3582.25031,million MMBtu
218,2021-08,US,U.S. Total,7,Industrial CHP,ALL,all fuels,249.87908,million MMBtu
219,2021-08,US,U.S. Total,97,All Industrial,ALL,all fuels,256.37112,million MMBtu
220,2021-08,US,U.S. Total,98,Electric Power,ALL,all fuels,3713.08082,million MMBtu
221,2021-08,US,U.S. Total,99,All Sectors,ALL,all fuels,3990.06143,million MMBtu
222,2021-08,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1562.20586,million MMBtu
223,2021-08,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,6.49204,million MMBtu
224,2021-07,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1384.88231,million MMBtu
225,2021-07,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,6.61959,million MMBtu
226,2021-07,US,U.S. Total,7,Industrial CHP,ALL,all fuels,255.01996,million MMBtu
227,2021-07,US,U.S. Total,5,Commercial CHP,ALL,all fuels,14.62379,million MMBtu
228,2021-07,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.36161,million MMBtu
229,2021-07,US,U.S. Total,95,Coal Consumption,ALL,all fuels,7.6862,million MMBtu
230,2021-07,US,U.S. Total,97,All Industrial,ALL,all fuels,261.63954,million MMBtu
231,2021-07,US,U.S. Total,96,All Commercial,ALL,all fuels,19.9854,million MMBtu
232,2021-07,US,U.S. Total,98,Electric Power,ALL,all fuels,3645.82816,million MMBtu
233,2021-07,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3519.56283,million MMBtu
234,2021-07,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1511.14763,million MMBtu
235,2021-07,US,U.S. Total,99,All Sectors,ALL,all fuels,3927.4531,million MMBtu
236,2021-07,US,U.S. Total,1,Electric Utility,ALL,all fuels,2134.68053,million MMBtu
237,2021-07,US,U.S. Total,3,IPP CHP,ALL,all fuels,126.26533,million MMBtu
238,2021-06,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1409.04966,million MMBtu
239,2021-06,US,U.S. Total,97,All Industrial,ALL,all fuels,245.57136,million MMBtu
240,2021-06,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,3239.71909,million MMBtu
241,2021-06,US,U.S. Total,3,IPP CHP,ALL,all fuels,116.93525,million MMBtu
242,2021-06,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1292.1144,million MMBtu
243,2021-06,US,U.S. Total,1,Electric Utility,ALL,all fuels,1947.60469,million MMBtu
244,2021-06,US,U.S. Total,98,Electric Power,ALL,all fuels,3356.65435,million MMBtu
245,2021-06,US,U.S. Total,7,Industrial CHP,ALL,all fuels,239.60039,million MMBtu
246,2021-06,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.97097,million MMBtu
247,2021-06,US,U.S. Total,5,Commercial CHP,ALL,all fuels,13.02568,million MMBtu
248,2021-06,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.07849,million MMBtu
249,2021-06,US,U.S. Total,99,All Sectors,ALL,all fuels,3620.32988,million MMBtu
250,2021-06,US,U.S. Total,96,All Commercial,ALL,all fuels,18.10417,million MMBtu
251,2021-06,US,U.S. Total,95,Coal Consumption,ALL,all fuels,7.08288,million MMBtu
252,2021-05,US,U.S. Total,1,Electric Utility,ALL,all fuels,1598.81634,million MMBtu
253,2021-05,US,U.S. Total,7,Industrial CHP,ALL,all fuels,237.97803,million MMBtu
254,2021-05,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.95463,million MMBtu
255,2021-05,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2762.31962,million MMBtu
256,2021-05,US,U.S. Total,5,Commercial CHP,ALL,all fuels,11.10029,million MMBtu
257,2021-05,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.07109,million MMBtu
258,2021-05,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1269.67655,million MMBtu
259,2021-05,US,U.S. Total,99,All Sectors,ALL,all fuels,3128.59692,million MMBtu
260,2021-05,US,U.S. Total,98,Electric Power,ALL,all fuels,2868.49288,million MMBtu
261,2021-05,US,U.S. Total,97,All Industrial,ALL,all fuels,243.93266,million MMBtu
262,2021-05,US,U.S. Total,96,All Commercial,ALL,all fuels,16.17138,million MMBtu
263,2021-05,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.34512,million MMBtu
264,2021-05,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1163.50328,million MMBtu
265,2021-05,US,U.S. Total,3,IPP CHP,ALL,all fuels,106.17327,million MMBtu
266,2021-04,US,U.S. Total,90,Electric Power Sector Non-CHP,ALL,all fuels,2508.1113,million MMBtu
267,2021-04,US,U.S. Total,95,Coal Consumption,ALL,all fuels,6.26274,million MMBtu
268,2021-04,US,U.S. Total,94,Independent Power Producers,ALL,all fuels,1198.52806,million MMBtu
269,2021-04,US,U.S. Total,96,All Commercial,ALL,all fuels,16.32049,million MMBtu
270,2021-04,US,U.S. Total,1,Electric Utility,ALL,all fuels,1412.64263,million MMBtu
271,2021-04,US,U.S. Total,7,Industrial CHP,ALL,all fuels,231.96594,million MMBtu
272,2021-04,US,U.S. Total,6,Industrial Non-CHP,ALL,all fuels,5.70392,million MMBtu
273,2021-04,US,U.S. Total,5,Commercial CHP,ALL,all fuels,11.14066,million MMBtu
274,2021-04,US,U.S. Total,4,Commercial Non-CHP,ALL,all fuels,5.17983,million MMBtu
275,2021-04,US,U.S. Total,98,Electric Power,ALL,all fuels,2611.17069,million MMBtu
276,2021-04,US,U.S. Total,97,All Industrial,ALL,all fuels,237.66986,million MMBtu
277,2021-04,US,U.S. Total,99,All Sectors,ALL,all fuels,2865.16104,million MMBtu
278,2021-04,US,U.S. Total,2,IPP Non-CHP,ALL,all fuels,1095.46867,million MMBtu
