ds,y
2020-05,2962.59989
2020-05,2706.65305
2020-05,1178.50329
2020-05,2602.69317
2020-05,230.39048
2020-05,8.26364
2020-05,1528.14976
2020-05,12.00068
2020-05,5.29204
2020-05,17.29271
2020-05,103.95988
2020-05,6.7802
2020-05,1074.54341
2020-04,8.12081
2020-04,11.6978
2020-04,4.94432
2020-04,100.47368
2020-04,1002.99202
2020-04,2465.17378
2020-04,1103.4657
2020-04,2364.7001
2020-04,251.20007
2020-04,16.64211
2020-04,6.01948
2020-04,1361.70808
2020-04,2733.01596
2020-04,243.07926
2020-03,9.33005
2020-03,2616.32803
2020-03,6.86355
2020-03,13.73736
2020-03,5.17118
2020-03,271.82323
2020-03,2730.99341
2020-03,3021.72519
2020-03,1077.53736
2020-03,114.66538
2020-03,18.90855
2020-03,1192.20274
2020-03,1538.79067
2020-03,262.49318
2020-02,1103.25216
2020-02,3104.7642
2020-02,2815.97893
2020-02,269.46039
2020-02,2702.11682
2020-02,1217.11426
2020-02,8.36815
2020-02,261.09225
2020-02,4.70338
2020-02,14.6215
2020-02,19.32489
2020-02,6.33774
2020-02,1598.86466
2020-02,113.8621
2020-01,1299.97941
2020-01,1730.61007
2020-01,3342.77858
2020-01,282.35991
2020-01,9.06898
2020-01,2904.89132
2020-01,3030.58948
2020-01,125.69817
2020-01,15.63643
2020-01,5.12376
2020-01,1174.28125
2020-01,291.4289
2020-01,20.7602
2020-01,6.89647
2019-12,1189.0141
2019-12,20.90037
2019-12,7.14499
2019-12,258.78738
2019-12,15.63232
2019-12,8.70343
2019-12,5.26805
2019-12,3300.09613
2019-12,3011.70495
2019-12,267.49081
2019-12,1314.27682
2019-12,1697.42813
2019-12,125.26272
2019-12,2886.44223
2019-11,4.88372
2019-11,256.52339
2019-11,19.11475
2019-11,118.98455
2019-11,6.83382
2019-11,1117.55128
2019-11,1590.27444
2019-11,3102.44842
2019-11,1236.53583
2019-11,248.17362
2019-11,2826.81028
2019-11,8.34978
2019-11,14.23103
2019-11,2707.82573
2019-10,8.37967
2019-10,18.67613
2019-10,3128.06097
2019-10,6.822
2019-10,117.42434
2019-10,1580.07977
2019-10,1159.94972
2019-10,2857.45383
2019-10,2740.02949
2019-10,5.06131
2019-10,251.93102
2019-10,1277.37406
2019-10,243.55135
2019-10,13.61482
2019-09,3113.72701
2019-09,3233.31276
2019-09,3501.15205
2019-09,14.27016
2019-09,1855.63241
2019-09,239.68077
2019-09,5.24976
2019-09,19.51992
2019-09,1377.68036
2019-09,8.6386
2019-09,119.58575
2019-09,248.31937
2019-09,1258.09461
2019-09,6.77284
2019-08,1350.14021
2019-08,252.51358
2019-08,3464.70937
2019-08,9.1516
2019-08,15.48095
2019-08,1489.45769
2019-08,5.5287
2019-08,139.31748
2019-08,21.00965
2019-08,6.33418
2019-08,3886.70169
2019-08,3604.02685
2019-08,261.66519
2019-08,2114.56916
2019-07,250.85273
2019-07,260.28334
2019-07,21.40386
2019-07,6.26217
2019-07,3693.48299
2019-07,3975.17018
2019-07,15.78937
2019-07,5.61449
2019-07,1393.33599
2019-07,135.85568
2019-07,3557.62731
2019-07,2164.29131
2019-07,9.43061
2019-07,1529.19167
2019-06,1866.07398
2019-06,245.68821
2019-06,18.86262
2019-06,5.67058
2019-06,1305.78878
2019-06,114.02132
2019-06,237.07219
2019-06,3057.84144
2019-06,13.43034
2019-06,5.43227
2019-06,3171.86276
2019-06,3436.41358
2019-06,8.61602
2019-06,1191.76746
2019-05,5.14879
2019-05,18.48446
2019-05,5.47407
2019-05,2878.67207
2019-05,247.10357
2019-05,3251.43284
2019-05,238.61755
2019-05,2985.84481
2019-05,8.48602
2019-05,1230.69221
2019-05,107.17275
2019-05,1755.1526
2019-05,13.33567
2019-05,1123.51947
2019-04,238.9144
2019-04,107.13213
2019-04,2920.27179
2019-04,2556.14305
2019-04,231.53362
2019-04,5.17466
2019-04,7.38078
2019-04,12.90756
2019-04,1051.8664
2019-04,2663.27517
2019-04,18.08222
2019-04,1158.99853
2019-04,5.09663
